지역ID,교육청,구군,학교수_합계,학생수_합계_계,학생수_합계_여자,학급수_합계_계,교원수_합계_계,교실수_계,일반교실수,교과교실수,특별교실수,학교용지_합계,교지면적_계,체육장,교사면적_총계,교수학습공간,지원공간,관리행정공간,보건위생공간,공유면적,냉난방면적_총계,난방_계,냉방,비난방,일반전기_kWh,심야전기_kWh,전기_총사용량_kWh,상수도_톤,가스_m3,유류_L,탄류_kg,신재생에너지_kWh,학생1인당_전기사용량,학생1인당_수도사용량,학생1인당_가스사용량,학급당학생수,교원1인당학생수,학생1인당_교원수,학생1인당_학교용지,학생1인당_교지면적,학생1인당_교사면적,학생1인당_냉난방면적,면적당_전기사용량,냉난방면적당_전기사용량,교수학습공간비율,관리행정공간비율,공유면적비율,냉방면적비율,비난방면적비율,학생1인당_전기사용량_점수,면적당_전기사용량_점수,냉난방면적당_전기사용량_점수,학생1인당_교사면적_점수,학생1인당_학교용지_점수,학생1인당_냉난방면적_점수,교원1인당학생수_점수,학급당학생수_점수,에너지_비효율점수,공간_과잉점수,운영_구조점수,종합_비효율점수,교육자원_효율점수,비효율_위험등급,주요_비효율유형,AI_추천개선방향
강원특별자치도교육청_강릉시,강원특별자치도교육청,강릉시,11,4926,2379,216,542,503,226,42,191,1344810,540450,124255,161204,36783,46961,11650,8170,40192,161204,99514,112772,35175,6499093,218169,6717262,87347,53150,39776,,128978,1363.634186,17.7318311,10.78968737,22.80555556,9.088560886,0.1100284206,273.0024361,109.7137637,32.72513195,32.72513195,41.66932582,41.66932582,0.2281767202,0.0722686782,0.2493238381,0.6995608049,0.2182017816,16.52008937,16.18471981,16.18471981,18.95779103,20.42534261,18.95779103,3.24609117,13.56167742,16.29650967,19.44697489,8.403884295,16.37280195,83.62719805,매우 낮음,공간 과잉형,"학생 수 대비 시설 면적이 큰 편이므로 유휴 공간을 방과후 교실, 지역 학습공간, 공유시설 등으로 전환하는 방안이 필요함."
강원특별자치도교육청_고성군,강원특별자치도교육청,고성군,4,403,175,27,83,130,50,10,56,405014,156730,52440,46382,11920,13396,3483,2533,9842,46382,19817,31616,13053,1721879,25053,1746932,21911,8672,782,,,4334.818859,54.36972705,21.51861042,14.92592593,4.855421687,0.205955335,1004.997519,388.9081886,115.0918114,115.0918114,37.66400759,37.66400759,0.2569962485,0.07509378638,0.2121943858,0.6816437411,0.2814238282,83.77334573,5.228662184,5.228662184,100,79.32603989,100,79.86433918,68.44355614,31.41022337,93.10867996,74.15394766,62.50116465,37.49883535,높음,공간 과잉형,"학생 수 대비 시설 면적이 큰 편이므로 유휴 공간을 방과후 교실, 지역 학습공간, 공유시설 등으로 전환하는 방안이 필요함."
강원특별자치도교육청_동해시,강원특별자치도교육청,동해시,6,2331,1175,105,248,187,112,15,44,261671,172983,55502,55930,13701,16111,4043,2949,14503,55930,44116,44991,10937,3461412,140,3461552,37870,16752,2514,,53485,1485.007293,16.24624625,7.186615187,22.2,9.399193548,0.1063921064,112.2569713,74.20978121,23.99399399,23.99399399,61.89079206,61.89079206,0.2449669229,0.07228678706,0.2593062757,0.8044162346,0.1955480064,19.26738972,71.49806484,71.49806484,9.820565275,7.490802217,9.820565275,1.291507791,7.061573849,54.0878398,9.043977589,4.17654082,28.58360007,71.41639993,낮음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
강원특별자치도교육청_삼척시,강원특별자치도교육청,삼척시,8,1299,578,69,182,198,87,13,79,365884,191695,88019,63825,13879,16679,4521,4261,15344,63825,47453,44624,16372,2718882,29968,2748850,47165,18350,152,,201551,2116.127791,36.308699,14.12625096,18.82608696,7.137362637,0.1401077752,281.6658968,147.5712086,49.13394919,49.13394919,43.06854681,43.06854681,0.2174539757,0.07083431257,0.2404073639,0.6991617705,0.2565139052,33.55290654,20.0121175,20.0121175,36.12978718,21.12245642,36.12978718,38.56205511,26.57877527,24.52571385,31.12734359,32.57041519,28.37307095,71.62692905,낮음,운영 구조 불균형형,"학급당 학생 수와 교원 1인당 학생 수의 균형을 점검하고, 인근 학교와의 공동 교육과정 운영이나 순회교사 배치 등을 검토할 수 있음."
강원특별자치도교육청_속초시,강원특별자치도교육청,속초시,3,1849,879,77,178,117,85,3,22,268782,126812,38539,35231,8727,11380,3091,1595,6803,35231,10738,32664,2527,1891035,,1891035,25693,18039,2200,,,1022.73391,13.89561925,9.75608437,24.01298701,10.38764045,0.09626825311,145.3661439,68.58409951,19.05408329,19.05408329,53.67531435,53.67531435,0.2477079844,0.08773523318,0.1930969884,0.9271380318,0.07172660441,8.803755265,49.02563145,49.02563145,4.65089787,10.15496404,4.65089787,19.18202976,26.52238673,35.61833939,6.485586593,22.85220824,22.0503186,77.9496814,낮음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
강원특별자치도교육청_양구군,강원특별자치도교육청,양구군,3,653,326,34,98,61,37,2,20,102465,89604,37642,40324,4908,11146,1608,1754,9994,40324,11384,37089,2459,3387061,74869,3461930,34710,10156,6546,,12184,5301.577335,53.15467075,15.55283308,19.20588235,6.663265306,0.1500765697,156.914242,137.2189893,61.75191424,61.75191424,85.85284198,85.85284198,0.1217141157,0.03987699633,0.2478424759,0.9197748239,0.06098105347,100,100,100,49.33461749,11.084193,49.33461749,47.14304081,22.50200743,100,36.584476,34.82252412,64.85716902,35.14283098,높음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
강원특별자치도교육청_양양군,강원특별자치도교육청,양양군,1,437,193,19,47,30,18,10,1,36450,33894,9490,13416,2356,2695,923,1033,3679,13416,8381,8579,4495,711668,1,711669,10644,5324,,,,1628.533181,24.35697941,12.18306636,23,9.29787234,0.1075514874,83.40961098,77.56064073,30.70022883,30.70022883,53.04628801,53.04628801,0.1756112105,0.06879844961,0.2742248062,0.6394603459,0.3350477042,22.51612192,47.30500692,47.30500692,16.83870907,5.169571275,16.83870907,0,15.64886664,39.04204525,12.94899647,7.82443332,23.92218395,76.07781605,낮음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
강원특별자치도교육청_영월군,강원특별자치도교육청,영월군,6,777,295,51,141,107,51,14,28,445015,224459,86200,55427,8458,18728,4258,2292,13123,55427,37759,38132,15133,3348833,36931,3385764,48514,32903,6420,,,4357.482625,62.43758044,42.34620335,15.23529412,5.510638298,0.1814671815,572.7348777,288.8790219,71.33462033,71.33462033,61.08510293,61.08510293,0.1525971097,0.07682176557,0.236761867,0.6879679579,0.2730257817,84.28634384,69.29420086,69.29420086,59.36301807,44.54360547,59.36301807,68.00516176,65.12276209,74.29158185,54.42321387,66.56396193,65.18509167,34.81490833,높음,에너지 비효율형,"전기 사용량 모니터링, 냉난방 운영 시간 조정, 고효율 설비 교체 등 에너지 관리 개선이 필요함."
강원특별자치도교육청_원주시,강원특별자치도교육청,원주시,16,9783,4655,378,894,707,377,36,250,832468,566044,176195,219754,57388,57986,24963,11313,48320,219754,113744,140923,72577,10047528,183885,10231413,112425,220237,900,,180261,1045.83594,11.49187366,22.51221507,25.88095238,10.94295302,0.09138301135,85.09332516,57.85996116,22.46284371,22.46284371,46.55848358,46.55848358,0.2611465548,0.1135952019,0.219882232,0.6412761542,0.3302647506,9.326673526,29.55841223,29.55841223,8.218200739,5.305052976,8.218200739,29.23298113,46.57334365,22.81449933,7.247151485,37.90316239,18.85085965,81.14914035,매우 낮음,운영 구조 불균형형,"학급당 학생 수와 교원 1인당 학생 수의 균형을 점검하고, 인근 학교와의 공동 교육과정 운영이나 순회교사 배치 등을 검토할 수 있음."
강원특별자치도교육청_인제군,강원특별자치도교육청,인제군,4,455,204,29,74,82,46,12,19,125042,115793,51871,36371,6408,11898,3078,1720,5503,36371,29785,28339,6586,1736008,11632,1747640,26135,9718,7621,,,3840.967033,57.43956044,21.35824176,15.68965517,6.148648649,0.1626373626,274.8175824,254.4901099,79.93626374,79.93626374,48.0503698,48.0503698,0.1761843227,0.08462786286,0.1513018614,0.7791647191,0.1810783316,72.594928,33.63928433,33.63928433,68.36472643,20.57140013,68.36472643,56.45741126,60.24559783,46.62449889,52.43361766,58.35150455,50.70719725,49.29280275,보통,운영 구조 불균형형,"학급당 학생 수와 교원 1인당 학생 수의 균형을 점검하고, 인근 학교와의 공동 교육과정 운영이나 순회교사 배치 등을 검토할 수 있음."
